text,intent
do you prefer peanut butter or cheese for your celery,43
i wanna add this song to my rock playlist,141
can you give me suggestions for a professional suit under $200,42
what are the pets that you have in your possession,34
how bad is traffic on the way into oakville right now,24
what kind of gas does my car use,8
i want to know fun facts about koala bears,129
please place this track on my driving mix,141
are you a live being,117
on the speaker what song is playing,21
what is the boarding time for my upcoming flight,80
do i have enough gas in the fuel tank,110
what's the nutritional info for a subway chicken sandwhich,1
i'd like to call you alex,55
don't let payments go through using my bank account,20
how will i know when my application for a credit card has been processed,103
can you translate i love you into french for me,61
where would i get my rewards for my master card,6
oil changes are typical done when,123
good day,82
define my health benefits,74
find an indian restaurant,145
put soda on the shopping list and add carrots,125
when would you recommend i get my oil changed,123
check if getting a light bulb is on my list of reminders,76
i wish to know my credit score,69
start a call to cynthia,25
when will my milk be no good,54
how nutritious are cheerios,1
how good are the ratings for papa john's,0
change settings to how they were originally,88
i want a table at texas roadhouse; how long will it be,102
how long since my car was in the shop,37
remove jess's party from my calendar,105
list meetings on calendar for today,19
i'd like to set a new timer,32
do you know any good jokes you would like to share,36
who do i report lost luggage to,113
how many people die each year while skydiving,42
can you help me with a new car insurance plan,64
where are most the servicemen right now,42
how long will it be until my visa card expires,44
put this in my workout playlist,141
assist me to set up direct deposit,108
did i set up a reminder to clean the bathroom,76
what do you think will be the result of my federal tax return,94
add soda on my shopping list and remove carrots,125
thanks again!,124
start the timer now and stop at thirty minutes,32
take me to the nearest dairy queen,72
what do i bring in over a year,93
do i have any meetings today between 5 and 6,19
set me an alarm for 4pm and another for 5pm,83
"before i pay my capital one, what are the most recent transactions i've made",68
"my card got melted and i need to report it, please",87
what are the requirements for carry on on flights with united airlines,62
i’ll be leaving now,114
"i want some nike's, is there enough in my wells fargo account",35
give me the status on my united airlines flight,80
what company is responsible for this design,96
what does my running list of stuff to do list,76
what is the way i can change my oil,3
how much will my monthly bill be,27
i am stranded and need uber,39
can you schedule a meeting room for interviews on thursday,18
what is the carry-on policy for flights on delta airlines,62
what holiday is coming up next,140
please tell me how many calories one chocolate bar contains,135
how many days off have i used,148
how do i make you talk faster,119
i would like to change your language from portuguese to italian,29
will you schedule a conference room for thursday at 4:00,18
"i want the events on my calendar for march 20th, 2019 to be cleared",105
i need to know how to change oil in a car,3
can you tell me some strategies for raising my credit score,28
what are some good southern bbq restaurants in nashville,145
could you list my health benefits,74
what is stupedous meant,139
can we skip this song,118
tell me what company programmed you,96
go ahead and increase your speaker volume,150
tell me what health plan coverage i have,74
i'd like a new life insurance plan,64
can you buy something,16
i would like to know what hobbies you enjoy,15
please revert all settings to factory default,88
"i applied for the credit card, have you processed my application",103
how many different types of robins are there,42
send a text that says hi to abby,26
it was pleasant conversing with you,114
show everything on my to buy list,43
who is in charge of you,57
"when referring to you, what name should i use",75
what is the day now,95
give me the date that i last got my car checked,37
please change my name to loverboy,144
do i need a visa to get to puerto rico,59
how long does it take to make shrimp scampi,86
i need gas what type do i need for this car,8
what are the best family restaurants in charlottesville,145
when can i commute my tires next,47
"up to this point, how much of my pto have i used",148
how much pressure is in my car's tire,98
can you please update the status of flight dl123,80
look to see if i have folding laundry on my to do list,48
"i can't locate my luggage, i was on jetblue flight ab123 out of detroit",113
please open a call to my mother,55
please set alarm for me,83
tell me your hobbies,15
what timezone is los angeles in,66
fun facts about tigers,129
is there a status update on my vacation approval,101
is there a way to change my pin number for my savings account,89
please add bananas to my shopping list unless i already did,125
when is the expiration date for me discover,44
could i get assistance booking a car rental in las vegas,40
do you know how long its been since i had my oil changed and a tune up,37
"so to go to brooklyn, it would take me how long again",78
when's the next day off,140
report my lost visa card,12
pizza has which ingredients,112
not true,30
my new card arrives in the post when,90
will my new credit card be here this week,90
can you tell my what france's timezone is,66
how can i pay my bill,111
how good are the ratings for peter luger steakhouse,0
please give me your responses only in french from now on,29
how many miles per gallon do i get,142
in my tank how much gas is there,110
give me an exact date of when i took my car to the mechanic,37
please add what i listen to to my lolla playlist,141
will you help me with a math problem,138
how do i write an iep for a high schooler,42
"yep, that's right",107
how do i find out my tire pressure,98
"can you help me book a bmw suv for march 2 to 6th, dallas texas",40
i don't need mowing the lawn on my to do list anymore,65
i need to switch to a new insurance plan,64
throw the dice,92
how long does it take to get to houston by bus,78
i need an uber to the doctor,39
find me an uber to the liberty bell,39
are the schools closed,42
"i need some recommendations for fun tourist activities in washington, dc",149
tell me about my insurance benefits,74
when would be a wise time to replace my tires,47
i need to know my interest rate,7
do i have to have a visa to go to the cayman islands,59
what are the items on my reminder list,76
how far am i from orlando,78
i'd like to know how to make changes for my insurance policy,64
i really gotta book a place to stay in phoenix from the 5th to the 9th of march,116
switch over to the male voice mode,51
how much am i going to have to pay in federal taxes this year,94
it could go either way,121
can you identify this song playing through the speaker right now,21
you can cancel my reservation,67
how do i locate my credit rating,69
how much money have i recently spent on stuff,71
what city is the super bowl,42
which timezone contains the city of orlando,66
how much money do i have in all of my accounts combined,35
what is the city fuel efficiency for this car,142
is there a fee associated with use of my card in burkina faso,137
can you restart my phone,42
how many miles until i get to the beach,78
how much money do i bring in,93
"on my wells fargo mastercard, what is the current apr",132
show me how do i schedule a meeting,18
i'd really like to set up a direct deposit for my paycheck,108
how long until delta is at the gate,80
call justin,25
"i would like you to change the settings back to factory default now, please",88
don't make too much noise,14
what is my location right now,136
research the meaning of life,22
decrease the speed of your speech please,119
text my mom for me and tell them i will be home soon,26
could you tell me what is the apr for the credit card,132
write apples on my shopping list,125
i wish to know why my card was declined yesterday,49
can you tell me what time it is in dallas,4
what is the current time in new york,4
display shopping list,43
please freeze my bank account,20
will the money in my capital one account cover a new washing machine,35
can you tell me the purpose of a safe deposit box,42
when is the next day off,140
please tell me what's provided in my health benefits,74
how healthy are apples,1
take out of my checking 400 dollars and put it into my emergency savings account,133
give recommendations for thai food,46
how many people do you think will be at applebees at 7,102
must i have an international visa when travelling to russia,59
hi,82
what is the time frame for receiving a new credit card if my original one gets lost,90
tell me what my calendar looks like for april 13,60
can you mark this note as important,42
do people call you by a certain name what is it,75
provide me with the knowledge of whether you are a human or are a computer,117
how much interest am i getting percentage wise from chase,7
my credit card fell out of my back pocket and got flushed down the toilet,87
"on the tv, turn on",10
remind me to exercise,53
if im traveling to the hospital around noon what is the traffic typically like,24
help me figure out where this fraudulent transaction from google came from on my account,70
what are popular mountains to hike in arizona,149
do you know what is for dinner,46
how much was my last target trip,68
tell me my credit limit,41
how many days have i taken off this year,148
i would like to transfer from one account to my second one,133
who did the programming for this ai,96
add to my playlist smooth operator by sade,141
how you are,82
please increase your volume,150
please tell me if there's been any word on my vacation request,101
can you please not talk so fast,119
"what the heck, where's my luggage!",113
define qat for me,139
can i have a table held at the outback steakhouse for johnson at 5,23
my card got declined at target while buying a tv,49
why does my credit union account have a hold on it,2
can you talk faster,119
share location with david,58
what ingredients do i need for gumbo,112
you can unsync from my phone now,130
is there anything i can't ask you,115
what is the prep time for a 10 lb turkey,86
tell me the the carry-on restrictions for american airlines,62
i need to know how many r's are in restaurant,73
what is the official language of romania,42
not at all,30
"the tasks for today, what are they",48
what does distinguish mean,139
must i have shots before i take a trip to canada,52
how many cars average are on the road daily,42
put the garage lights on,10
i'm traveling to ca soon and want to inform my bank,146
call sandra right now,25
which stocks gained the most today,42
i'm called tim,144
put a hundred dollars in my ally account from bluebird,133
how do you spell mississippi,73
could you tell me the name of your boss,57
"""i need to report fraudulent activity to my card company",70
how would i go about spelling malignant,73
what films are in the running for best song at this year's oscars,42
"could you cancel that request, please",147
"i want to report fraudulent activity on my visa card, please",70
add funds to the retirement account from the pnc account only,133
cancel that last command,147
is a travel visa needed for thailand,59
i would like to request a pto on february 7 and 8,97
does iron skillet at the truck stop trake reservations,9
how is friend spelled,73
i want to schedule a pto request on march 1-2,97
i appreciate your help!,124
how long does it take to get to applebees in nj,78
what would cause my bank account to be frozen,2
i want your accent changed to the male british one,51
milk can stay in my fridge for how long,54
what is the mpg for this car in city,142
i have no checks and need to order new checks,127
i am currently out of q tips and need more ordered right away,16
would you let me know what date it will be in 3 days,95
how hard is it to close a bank account at wells fargo,42
i'm traveling to morocco soon and want to inform my bank,146
how can i make chicken pot pie,104
help me find a car to rent,40
how many miles per gallon does this car get on the highway,142
turn down the volume,150
what will the date be in 64 days,95
are the donuts at tgi well reviewed,0
how do you spell out newspaper,73
i need to know the bill's minimum payment,143
place a marker for me where i am on the map,136
my checking account needs a new pin number,89
please reserve a table for two at rouge for 7:00 pm,23
what is the present status of my credit card application,103
kind of what pets do you have,34
please let's speak in spanish,29
know any interesting facts,129
please skip this song and play the next one,118
cross grocery shopping off the todo list,65
does travel to africa require any shots,52
good to see you,82
start my playlist,106
i want to get reminded to clean my room,53
does chili's take reservations,9
mpg for this car please,142
what's with the block on my bank account,2
please tell me what shots i am required to get to travel to india,52
my name's bob,144
what area were you born in,77
approximately how much time will it take to get to tod's in minutes,78
spell out potato,73
how do you address my name,11
"i want to eat mediterranean fare with at least four stars, near me",145
are you influenced by someone else,57
how much cash do i have in my various bank accounts,35
my card has a deep crease through the middle so i would like to report it,87
i appreciate you helping me,124
what is inches in centimeters,31
tell me something interesting about outer space,129
spell: dessert,73
what topics can you answer questions on,115
would you mind repeating that,13
how do i get direct deposit set up,108
i would like you to repeat it,13
i can't answer that,121
how do i go about setting up paycheck direct deposit,108
make a timer for 5 minutes,32
does south korea have any travel alerts i should be aware of,128
how much is my credit limit,41
what's the carry on policy for delta,62
my broken card won't work,87
let me know chase's routing number,45
"what do they call you, ai",75
i need your language setting to be russian now,29
could you make me a reminder to do the floors,53
show me the total up to date points on the marriot rewards card,50
i need an uber for 7 people to go to safire restaurant,39
what is the usd mxn exchange rate,38
what's the mileage on my car,142
where do i report fraud on my credit card,70
let me set up direct deposit for this,108
place cleaning the backyard on my list of things to do,65
calorie content of dr pepper,135
when does my capital one visa expire,44
what is the state of the weather in seattle,5
what do you go by,75
can you turn on the lights in the den,10
i really want to know my todo list again thanks,48
can you swipe to the next song,118
do you have a record of when i last got my car checked,37
i'd like to put a freeze on my bank account,20
can i find my w-2 online,122
can you check and see why us bank put a hold on my account,2
what's my discover credit limit,41
i need to know my cable bill minimum payment,143
i need help making a pto request for march 3-10,97
can you cancel it,147
can you set an alarm,83
how soon until i will need to get my oil changed,123
how much do i have to pay on my bills,27
please turn on the hallway lights,10
what day did i last take my car to the shop,37
would you buy me a phone,16
how much do i make every 2 weeks,93
what ingredients do i need for tacos,112
i need to know when my mastercard will expire,44
can you help me hunt for my missing cellphone,81
set an alarm for 05:00 and one for 16:00,83
would you let me know if you are a cat or dog person,34
please skip this song for me,118
clear my calendar for may 3rd,105
is being alive the meaning of life,22
is there an alternate bus stop close to my home i can use,42
how do you know if your oil needs changed,123
what exactly is your name,75
give me a listing of all my dvd's,42
what do i do if my car battery died,17
if you had to say who you worked for who would it be,57
should i a gas refill for my car at the next gas station,110
why was my card not accepted,49
should i put air in my tires,98
how long does cottage cheese keep in the fridge,54
looks up the calories in cheetos,135
my car was looked at when,37
what status is my card application in,103
what are some things to do in portland,149
what are popular lifestyle magazines,42
what can i do to keep my credit in good standing,28
help with credit card points,6
put what i'm listening to on my workout playlist,141
does cuba require vaccines,52
"my check engine light has switched on, schedule someone to inspect it",131
can you find my location on the map,136
"if i use my card in tahiti, will i be charged",137
tell me the duration it takes to get a new cc,90
when is too late to pay my cable bill,56
don't know,121
do i need a power adapter in mexico,120
tell me what to do to change the oil in a subaru,3
what day will it be in fourteen days,95
i need help booking a car rental in seattle,40
remove anniversary dinner from my calendar on april 5,105
see if you can purchase a spacesuit online,42
what kinds of things are you familiar with,115
what's trending now,42
what type of pizzas are available for dinner,46
what should i squirrel away to pay in taxes,94
do i need any specific shots if i go to the uk,52
i need to know my credit card's rewards balance,50
i need help finding my mobile phone,81
what kind of mileage am i getting,142
where do i get the form i need for taxes,122
i'd like you to speak a bit slower,119
how do i make lemon merengue pie,104
do you know whether ihop does reservations,9
roll this dice,92
in the place i am what are my gps coordinates,136
i want to apply for a wells fargo credit card,91
"can you call me a different name, please",144
can you please confirm that i have a 6:00 pm table reserved under michelle solomon at devon's,85
how many days did i skip work,148
how do i find when my medical bill is due,56
can you assist me with finding my phone,81
can you tell me where i left my phone,81
i am bored and need new dinner recommendations,46
"wake up, ai",82
i need my credit limit changed,109
i'm inquiring about the availability of a room that fits 10 people from monday to tuesday in manhattan,116
are you a human being or a computer,117
add this song to my rock playlist,141
please call me jim,144
i don't know where i put my phone,81
what ingredients do i need to make spaghetti,112
it is false,30
will i be charged if i use my card in china,137
i will be speaking chinese going forward,29
can you switch out of whisper mode,14
how bad is my current credit score,69
i need instructions on how to change my car's oil and what type i should buy,3
the reservation at zepher cancel joe from that,67
give me the status of my vacation request,101
can you figure out the meaning of life,22
what's the fastest growing stock of 2019,42
what is happening with brexit right nowu,42
greetings to you,82
make not of my appointment for tomorrow on my calendar,105
send my gps coordinates with home base please,58
what must i do to report my card lost,12
read me my list of things to do,48
is it time to change my tires,47
who do i work for,57
i'd like to reserve a high-end car that seats 5 comfortably for april 12th through 18th for st louis missouri,40
is it okay to eat chicken that i put in the fridge on monday,54
i need to know the gas type for this vehicle,8
can i get to work safely or do i need to stop and get gas,110
how do you spell hotdog,73
tell me something interesting about elephants,129
tell me what song this is,21
do you work for another person,57
i wanna know my bank balance,35
can you please speed up your speech settings,119
how do i get to the supermarket on foot,72
can you speak quieter,150
"set an alarm for 6am, please",83
what are my coordinates,136
what's the meaning of emulsify,139
inform my bank that i'll be going to europe,146
role a 10 sided die for me,92
do you know what the interest rate is on my account,7
"you're speaking too fast, slow down",119
is there a good website to teach me how to make sushi,104
what if i want to switch insurance plans,64
forget reservation at oyster bar for tonight,67
can you recommend for me when to next get my oil changed,123
i need to know if my vacation was approved,101
read me some interesting information about cats,129
i see a suspicious transaction in my account history,70
create a pamphlet on albert einsteins childhood,42
tell me what you do for fun,15
how many miles does my car currently have,42
how long will it take for me to get a new credit card to replace the one that was stolen,90
how do i jump start my battery,17
add hells bells by acdc to my playlist,141
what happened to my cellphone,81
do you know any good jokes about lawyers,36
what do you do when you're not working,15
has my purchase been delivered yet,84
"no, that is wrong",30
sign me up for the slack employment forum,42
absolutely correct,107
how can i change car oil,3
call aj,25
what are some good mexican restaurants in indianapolis,145
will you check there is a reservation for laura at black pearl,85
search information on how to apply foundation,42
can my limit be increased for my visa,109
what kind of gas mileage does this car get when going through a city,142
could you send a text to marty and say i am running behind,26
is it okay to substitute oregano for basil,134
restate the last thing you told me,13
what is the meaning of telepathy,139
please rely on your original settings,88
"ai, call me deb",144
can you play your guitar right now,106
does centurytel offer any better plans than the one i'm on,42
i am interested in acquiring a new credit card,91
what is the air pressure of my tires,98
"i would like an uber going to the train station, please",39
i am going to address you as my own name,55
move 100 dollars from my savings to my checking,133
i want to hear the very next song on this playlist,118
are there alot of cars on the road before the stadium,24
do i have anything scheduled on january 1st,60
how do i get different terms on my insurance policy,64
i'd like to have my paycheck direct deposited to my chase account,108
i need to know when should i get my oil changed next,123
"sorry, i didn't catch that could you say it again",13
could you share my credit score,69
what do i have to do on march 2 that's on my calendar,60
how's traffic en route to virginia,24
"from now on, i want you to answer me using japanese",29
can you tell me what gas this car takes,8
i need a hotel room for 7 people in st louis for november 3rd through 5th,116
add my doctor appointment on march 25th at 3:00 to my calendar,105
i need an appointment to get my oil changed,131
when could i get my tires changed next,47
how do i get to the subway by foot,72
what's your boss' name,57
"i need to make a quick decision, so roll a dice!",92
what do you do if your luggage is missing,113
what expression would i use to say i love you if i were an italian,61
how are those mcdonald's reviews looking,0
how healthy are french fries,1
what's my current reward balance on my amex card,50
put fan on,10
any good pizza restaurants around here,145
what is the definition of didactic,139
change the code of my savings account to be 1234,89
what's the traffic like right now for my route to work,24
can you please tell me what is on my to-do list,48
"i need to change my oil, how do i",3
what do i have scheduled for february 28th,60
what's the routing number for my current checking,45
what things do you enjoy doing,15
please flip a coin for me ai,33
are there any travel alerts in that region,128
i want to tell susan that the meeting has been cancelled,26
add sprite to my shopping list,125
go to upcoming song,118
what's the healthcare plan i'm on,74
i'd like to pay my bill,111
i need an alarm set,83
"including the day i missed because of snow, how much time have i take off work so far",148
i would love to find a few vegan restaurants in back bay,145
let me know in 15 minutes please,32
how do you say my name,11
make sure bread gets added to my shopping list,125
will my 401k rollover or not,100
how long can i keep pizza in the freezer for before it goes bad,54
"in boston, what are the best pizza places",145
are you employed by me,57
can you look at what average reviews say about the new windows phone on amazon for me,42
i'd like to be out of whisper mode,14
i replaced my tires last year when should i replace my tires again,47
tell my bank that i will be taveling to south korea,146
what kind of oil and how much do i need for my toyota tacoma truck and how do i do it,3
will i be charged for using my card in japan,137
make the male british accent please,51
