text,intent_name,umap_x,umap_y
can you recommend for me when to next get my oil changed,oil_change_when,-4.4436555,5.507835
read me some interesting information about cats,fun_fact,10.047954,12.475796
do you know any good jokes about lawyers,tell_joke,8.500903,10.95245
how can i change car oil,oil_change_how,-2.801115,-2.7969933
do i have anything scheduled on january 1st,calendar,18.607616,5.9824457
i need to know when should i get my oil changed next,oil_change_when,-4.552788,5.571382
what do i have to do on march 2 that's on my calendar,calendar,18.667358,6.084623
add my doctor appointment on march 25th at 3:00 to my calendar,calendar_update,19.38468,4.7454057
"i need to change my oil, how do i",oil_change_how,-2.4999757,-4.028273
what do i have scheduled for february 28th,calendar,18.45256,6.299833
how long can i keep pizza in the freezer for before it goes bad,food_last,-0.5849038,15.517509
i'd like to be out of whisper mode,whisper_mode,12.204982,-8.681006
what kind of oil and how much do i need for my toyota tacoma truck and how do i do it,oil_change_how,-3.0926933,-3.5793571
stop,cancel,10.157783,-3.8795142
stop talking please,cancel,9.590519,-4.332416
please stop it,cancel,10.149295,-3.8878453
tell me when i should change me oil,oil_change_when,-4.478072,5.5431075
go to whisper mode for one hour,whisper_mode,11.713388,-8.671339
call the restaurant and cancel my reservation,cancel_reservation,12.087958,4.3961897
do you have any funny jokes,tell_joke,8.34587,11.060808
can you please whisper,whisper_mode,11.007009,-7.3456626
when is my next oil change,oil_change_when,-4.9210095,5.1970067
tell me something funny about animals,tell_joke,9.958174,12.149978
tell me something funny about adulthood,tell_joke,9.008753,11.9249735
do you know any fun facts about mt everest,fun_fact,11.46019,13.272648
do you know any dad jokes,tell_joke,8.361837,11.181168
"can you cancel that request, please",cancel,11.03705,-3.9894178
find me cat trivia now please,fun_fact,9.950975,12.666899
"in austin, what are some tourist things to do",travel_suggestion,12.889584,15.659476
do i need to go under the car to change oil,oil_change_how,-2.7656472,-2.5021517
"what you are doing is not actually helpful, please cancel the action",cancel,10.958712,-3.4894261
how can i change my car oil,oil_change_how,-2.8269827,-2.743947
can you give me some suggestions to go site seeing when i get there,travel_suggestion,13.318755,16.775486
"increase the volume level to 4, please",change_volume,5.994475,-9.14122
how can my oil be changed in my car,oil_change_how,-2.7183518,-2.750857
how long will steaks last in the freezer,food_last,-0.46421975,16.036842
what is the schedule for my next oil change,oil_change_when,-4.8684406,5.304668
tell me something fun about gravity,fun_fact,11.0316925,12.921816
"what've i got set for friday, the 13th, of next year",calendar,17.607971,6.5223327
at the point when should i get my oil changed straightaway,oil_change_when,-4.3370805,5.5226836
cut cucumbers can stay in the fridge for how long before spoiling,food_last,-0.43834907,15.380416
how long do you need to bake chicken for it to be safe to eat,cook_time,-1.1204824,17.602808
what kind of oil does my car take and how do i do a change,oil_change_how,-2.9720016,-3.312191
i no longer want my reservation for 5 at the loft cancel it please,cancel_reservation,11.338905,3.7679987
cancel the reservation for joe and i right now for the zephers reservation we had booked,cancel_reservation,10.843985,4.1770906
please cancel the reservation at zephers for joe and myself right now,cancel_reservation,10.822644,4.153836
how long until my oil needs to be changed,oil_change_when,-3.9145257,6.115017
what do you recommend to do in vegas,travel_suggestion,13.1533575,15.485212
use your whisper voice,whisper_mode,10.7804785,-7.5390177
where is the best winery in the south of france,travel_suggestion,13.002705,16.36933
how to change oil and what oil type,oil_change_how,-2.6217284,-3.913272
how do i change the oil in my passat,oil_change_how,-2.0314765,-3.8994932
how many days milk can be preserved,food_last,0.048251443,14.20498
what are fun facts about lighthouses,fun_fact,11.077179,13.267023
erase any event on my calendar that's set for wednesday of next week,calendar_update,17.815136,4.6510873
i would like to listen to a funny joke,tell_joke,9.009237,10.879053
how long does it take frozen steaks to go bad,food_last,-0.472386,16.041994
"check my calendar for me, please",calendar,18.171062,6.127362
give me a cool fact about potatoes,fun_fact,11.023657,12.667577
when will lettuce in the fridge go bad,food_last,-0.35511982,15.162632
please cancel the last input,cancel,11.366518,-3.5838194
where should i book my next trip,travel_suggestion,13.435807,16.998566
what do i have going on march 2nd on my calendar,calendar,18.725775,6.117309
please delete the reservation for roberts at village tavern,cancel_reservation,11.517563,4.605659
i don't need the reservation anymore,cancel_reservation,10.955662,5.0199413
could you stop talking for a second,cancel,9.594171,-4.2772675
the milk will expire when,food_last,0.2741007,14.18901
give me a joke about the topic of television,tell_joke,8.971435,11.120299
when can i get oil changed,oil_change_when,-4.528571,5.8915315
how long do the brownies need to be in the oven,cook_time,-1.8936049,16.547123
how long can i keep fish in the freezer before it gets ruined,food_last,-0.47691786,15.784914
i no longer need the dinner reservation,cancel_reservation,12.370986,4.314564
what is the length of time i can leave pork in the fridge,food_last,-1.1163744,15.722768
cancel my reservation for me,cancel_reservation,11.12206,4.4802456
my reservation is no longer needed,cancel_reservation,10.839056,5.055415
heard any good jokes lately,tell_joke,8.321584,11.094618
can you cancel my dinner reservation,cancel_reservation,12.008758,4.313625
what's on my schedule for may 3,calendar,18.573156,6.543546
are there any fun tourist things to do in boston,travel_suggestion,12.720997,15.766174
"put ""get tires checked"" on my calendar",calendar_update,18.527817,5.4578295
what is the expiration date of my milk,food_last,0.2766277,14.139186
refrain from talking,cancel,9.524372,-4.3455935
whisper to me,whisper_mode,11.070465,-7.4108825
do i have anything on my calendar for march 2nd,calendar,18.523115,5.9411855
decrease volume,change_volume,8.352034,-6.885268
read my appointments for march 2,calendar,18.832037,5.987786
what do people find funny about food,tell_joke,8.735588,12.1515665
i want you to cancel the current action,cancel,10.980832,-3.453273
what steps do i need to follow to change the oil in my car,oil_change_how,-2.5095227,-2.508354
please begin using the whisper voice setting,whisper_mode,11.298021,-7.9247794
abort,cancel,11.007156,-3.1981654
please cancel that last command,cancel,11.381971,-3.5154736
please raise the volume to 4,change_volume,6.055705,-9.208237
i must know when should i get my oil changed next,oil_change_when,-4.4592047,5.458396
cancel doctors appointment from my calendar,calendar_update,19.34339,4.617746
i do not want my reservation anymore,cancel_reservation,10.9026985,5.017143
"forget it, i do not need it anymore",cancel,10.802312,-3.8187325
are there any exciting tourist things to do in boston,travel_suggestion,12.726567,15.747264
i want to hear something funny,tell_joke,8.969097,11.783579
please take final exams off my calendar for may 3,calendar_update,18.351788,5.984314
can you tell me how long it will take to cook a lasagna,cook_time,-0.6266285,17.75489
march 3rd needs to be cleared on my calendar,calendar_update,18.087933,4.601428
can you increase the speaker volume,change_volume,8.867204,-7.8144617
stop the process,cancel,10.940407,-2.8257902
set whisper mode to off,whisper_mode,12.423137,-8.577346
have i gotten around to adding the bike ride to my calendar yet,calendar,18.265003,5.706374
how long to microwave a pizza,cook_time,-0.91454315,15.957548
please increase the volume to 4 please,change_volume,5.9945455,-9.152289
go into whisper mode now,whisper_mode,11.552408,-8.642272
leave whisper mode,whisper_mode,12.33208,-8.5915165
tell me a joke if you'd like to,tell_joke,9.07047,10.705982
how long should i expect beef stroganoff to prepare,cook_time,-1.5048295,17.239334
i want to know where to visit in bangkok,travel_suggestion,12.929132,16.5497
could you share a joke,tell_joke,9.169157,10.670823
i want the volume at level 4,change_volume,6.0366335,-9.348911
something's come up so i need to cancel my reservation so now,cancel_reservation,11.131937,4.3821206
what's the average cooking time for cooking wings,cook_time,-1.1960622,17.496008
do not complete the task that i gave you,cancel,10.764407,-3.43078
"actually, cancel that command",cancel,11.364119,-3.557191
discontinue your current task,cancel,10.81319,-3.3624957
find something fun for me to do in dallas,travel_suggestion,13.252616,15.489962
what is the recommended interval to get my oil changed,oil_change_when,-4.362543,5.9235034
"cancel the dinner reservation i made, okay",cancel_reservation,12.234617,4.331616
i want that volume bumped up to 4,change_volume,6.011375,-9.285849
tell me what my calendar looks like for march 12th,calendar,18.62867,6.4209976
you must increase your volume,change_volume,8.698956,-6.838021
i need to edit this event out of my calendar,calendar_update,17.635563,4.9972324
remove moms birthday from calendar,calendar_update,17.548761,5.200593
search for how to change my oil,oil_change_how,-2.3875532,-4.0491114
i need your setting switched to whisper mode right away,whisper_mode,11.50134,-8.458888
i want to take the 8am meeting with sam on monday the 5th off my calendar,calendar_update,18.959488,5.244614
delete that event from calendar,calendar_update,17.546774,4.8312755
you can cancel the task,cancel,10.856109,-3.3457913
please turn the volume to 4,change_volume,6.1450696,-9.388174
cancel that,cancel,11.257462,-3.8449337
"cancel my reservation for dinner, please",cancel_reservation,12.150715,4.311885
please increase volume,change_volume,8.651634,-6.909632
will you tell me a joke,tell_joke,9.190582,10.635821
terminate current process,cancel,10.908299,-2.9703732
what sorts of activities should i get up to while i am in dublin,travel_suggestion,12.811277,16.079306
tell me a blonde joke,tell_joke,9.038802,10.990298
do i have any items on my calendar for march 21st,calendar,18.480705,5.859774
tell me something funny about rats,tell_joke,9.893777,12.18416
give me a list of things to do in orlando,travel_suggestion,13.361099,15.405803
stop using the whisper mode,whisper_mode,12.41495,-8.576976
tell me some something trivia,fun_fact,10.249689,13.399517
please cancel my dinner reservation for tuesday,cancel_reservation,12.15152,4.2754383
what is on my schedule for tomorrow,calendar,18.055826,6.565797
i want you to your volume,change_volume,8.835015,-7.0847588
how do i do an oil change and what type do i use,oil_change_how,-2.6134338,-3.8481274
change the volume to 4 now please,change_volume,6.13407,-9.400154
tell me some fun tourist attractions in london,travel_suggestion,12.8184395,15.983754
what's a good use of my time in toronto,travel_suggestion,13.291571,16.457981
tell me something interesting about sperm whales,fun_fact,10.5555525,12.635489
how long should i fry an egg for,cook_time,0.67442834,16.629896
"i made a reservation for chris at tony's, please cancel it",cancel_reservation,11.431908,4.3400292
silence,cancel,9.916364,-6.8780107
cancel my reservation for bob at red robin,cancel_reservation,11.350191,3.2707572
how often do you have to change your oil,oil_change_when,-4.5425286,6.661159
can you tell me how to change my oil,oil_change_how,-2.4010928,-4.0708
abort please,cancel,10.985945,-3.2568078
turn up your volume,change_volume,8.484644,-7.5322866
give me location for tourist destination in bangkok,travel_suggestion,12.963821,16.572294
turn on the whisper voice,whisper_mode,11.158059,-7.8330894
"cancel my last request, i know the answer",cancel,11.078683,-3.9295294
start whisper mode,whisper_mode,11.890551,-8.660283
"it seems to be that i have had pizza in the fridge since monday, so is it safe to eat",food_last,0.22979924,15.564066
turn your speakers up,change_volume,8.507241,-7.6970577
can i drink milk i've kept in the fridge since wednesday,food_last,-0.11497636,14.428694
what do i have scheduled on march 2nd on my calendar,calendar,18.573578,6.2261353
when is the next time i need to get an oil change,oil_change_when,-4.5714407,5.400331
show me trivia about cats,fun_fact,9.954245,12.594606
does tofu last long in the freezer before it goes bad,food_last,-0.119743235,15.370129
how is my calendar looking for may 6th,calendar,18.465004,6.2798586
tell me some things to see in tampa,travel_suggestion,13.391924,15.422135
tell me today's fun fact,fun_fact,11.2050905,12.923164
i want today's fun fact please,fun_fact,11.225599,12.909933
i want you to use whisper voice now,whisper_mode,10.837391,-7.6813226
i no longer want this event in my calendar,calendar_update,17.499638,4.8573184
when is my oil due to be changed,oil_change_when,-4.8260937,5.52305
what do tourists do for fun in seattle,travel_suggestion,12.850243,15.571188
when can i expect meal of salmon to be finished,cook_time,-1.2440006,17.066896
what are the procedures for changing my oil,oil_change_how,-2.4435897,-3.901251
i want some suggestions for tourist activities in dublin,travel_suggestion,12.771034,16.108719
clear my calendar for tomorrow,calendar_update,18.122364,4.5803223
how long can i keep pork in the freezer for before it gets freezer burnt,food_last,-1.0873615,15.720372
i no longer need the reservation for 20 at ihop,cancel_reservation,10.907156,5.1016045
carla doesn't want her olive garden reservation anymore,cancel_reservation,11.922715,4.5314364
how long will my eggs be good for,food_last,0.6909985,16.470663
erase meeting with jeff from my calendar,calendar_update,17.61752,4.903124
i don't need my reservation for 5 at the loft please cancel it,cancel_reservation,11.34376,3.6866412
when is the egg expired,food_last,0.7240688,16.294195
what do i have on my calendar for monday the 1st of march,calendar,18.104668,6.4129963
can you use the whisper voice,whisper_mode,10.911867,-7.680878
could you please cancel my reservation for 5 at red robin,cancel_reservation,11.3778925,3.305566
tell what is showing on my calendar for the 17th of march,calendar,18.831085,6.738378
what's a good trivia fact about china,fun_fact,10.47188,13.41085
is anything on my calendar for june 22nd,calendar,18.429045,5.7904077
"are there any interesting things to do in atlanta, georgia",travel_suggestion,13.327012,15.590057
tell me something funny about dogs,tell_joke,10.057117,12.089803
go ahead and cancel the reservation i made for 6:00 pm at parc,cancel_reservation,11.190368,4.3675547
what is an amazing trivia fact relating to 3d printing,fun_fact,10.503448,13.274529
about how long should you cook a 10 pound turkey,cook_time,-1.5278575,17.58965
i want to learn how to change the oil in my car,oil_change_how,-2.0389383,-3.1675766
how long do you cook a hamburger for,cook_time,-0.43915483,16.643032
tell me a fun fact about the moon landing,fun_fact,11.204895,12.993657
"i have potatoes in the cupboard from wednesday, are they fine",food_last,0.38549617,16.010695
negate last command,cancel,11.466745,-3.431081
what is tuesday like on my calendar,calendar,17.886368,6.412304
can you get me any recommendations for the place i'm traveling to,travel_suggestion,13.376437,16.939999
remove jake's birthday on march 22,calendar_update,17.515934,5.316418
can you tell me what my may 1st will be like according to my calendar,calendar,18.828012,6.6413
what's the funniest thing you've got,tell_joke,8.893387,11.844901
what are some trivia questions about lebron james,fun_fact,10.043703,13.892365
how many days later is it okay to eat curry that was in the fridge,food_last,0.24171562,15.813088
did i mark the mechanic's appointment on my calendar,calendar,18.81829,5.241627
what are the manufacturers guidance on oil changes,oil_change_when,-4.6288304,6.064763
"i could use a laugh, got any jokes",tell_joke,8.413175,11.232529
how long can i keep deer meat in the freezer before it's unedible,food_last,-0.49996608,15.899299
how long do i need to cook pot au feu for,cook_time,-1.3237091,17.258146
"mayonaise has been in my fridge for three years, is it still good to eat",food_last,0.1301759,15.707365
tell me something funny about the middle ages,tell_joke,9.308171,12.033216
please switch to whisper mode,whisper_mode,11.461956,-8.467569
is rice ok after 3 days in the refrigerator,food_last,0.53186744,15.64462
can you give me instructions on how to change the oil for my car,oil_change_how,-2.2424037,-2.9574037
what oil should i use for an oil change and how do i do it,oil_change_how,-2.821004,-3.8189833
"stop, i changed my mind",cancel,10.260404,-3.7975743
command cancel,cancel,11.396828,-3.5177257
make sure april 1 is clear on my calendar,calendar_update,18.221767,4.7030373
how many minutes should i set an alarm for this bake,cook_time,-1.6462148,16.581343
"i have had pasta in the fridge since monday, can is till consume it",food_last,0.14791118,15.627483
i can't hear you and need you to turn up the volume,change_volume,8.823175,-7.2137275
remove fencing from my calendar for may 7th,calendar_update,17.321308,4.6122923
i need you to use your whisper voice,whisper_mode,10.747541,-7.584439
show me something funny about food,tell_joke,8.718718,12.145629
have any cool facts on reptiles,fun_fact,10.454977,12.654652
what are the minutes needed to cook the meal,cook_time,-1.1876508,17.006615
i no longer want my reservation anymore,cancel_reservation,10.913792,5.0347714
can you give me a good piece of trivia about the rainforest,fun_fact,10.470379,13.26907
let's switch out of whisper mode,whisper_mode,12.129888,-8.372842
change audio settings to the whisper option,whisper_mode,11.97848,-8.023256
what do tourists do in tokyo,travel_suggestion,12.688252,16.17441
tell me your funniest joke,tell_joke,8.892396,11.017099
how many miles can i drive before i need to change my oil,oil_change_when,-3.7901685,5.771888
is it possible for you to use the whisper voice,whisper_mode,10.922516,-7.6267114
abort the current action,cancel,10.939507,-3.1686554
how long does chicken curry last in the freezer before it's spoiled,food_last,-0.07761467,15.951305
i want to figure out how to do an oil change on my car,oil_change_how,-2.439505,-2.8870661
i've had eggs in the fridge since monday are they safe eat,food_last,0.6019128,16.260359
how do i know if my milk is expired,food_last,0.28420454,14.129952
when do i need an oil change,oil_change_when,-4.7504573,6.0270267
what are some activities to do in chicago,travel_suggestion,13.227681,15.900692
"i have had pizza in the fridge since monday, so is it safe to eat",food_last,0.22646125,15.544362
i want to travel this year but i need some suggestions,travel_suggestion,13.438121,17.005852
tell me a joke,tell_joke,9.171462,10.77635
halt,cancel,10.819101,-2.9707894
give me manual on how to change oil,oil_change_how,-1.8980476,-3.851247
how long should i boil noodles for,cook_time,-1.0571196,17.03606
we have a table at the taco bell under bowie we need to release,cancel_reservation,12.317533,4.174592
what day did i set on my calendar for the first day of school,calendar,18.044165,6.216745
"never mind, don't do that",cancel,10.463004,-4.03386
would you please increase your speaker volume,change_volume,8.886997,-7.851868
how long does it take for dough in the freezer to go off,food_last,-0.8063573,15.781086
make your volume quieter please,change_volume,9.104517,-7.02656
tell me something funny about parenting,tell_joke,8.7996025,11.802305
i wanna hear something cool about bees,fun_fact,10.856526,12.334865
how long does it take to prepare pot roast,cook_time,-1.6008842,17.46376
i dont need whisper mode on any more,whisper_mode,11.992637,-8.411808
shhhh,cancel,9.965063,-4.2207937
turn down volume,change_volume,8.5122795,-7.467006
does my calendar include an event called shana's baby shower,calendar,17.937824,5.453612
so how long can pizza last in the fridge,food_last,-0.67464685,15.521379
what is the recommended time frame to change my oil,oil_change_when,-4.1701035,5.9951754
what's the time frame for hamburger stored in the freezer to go bad,food_last,-0.34640998,15.8627615
tell me a fun fact about the olympics,fun_fact,11.283174,13.12977
did i set a day on my calendar for voting in the next election,calendar,18.006512,6.150889
what is some trivia about the weather,fun_fact,10.3338,13.448818
when is my car due for an oil change,oil_change_when,-5.1996927,5.0817595
give me instructions on how to change my oil,oil_change_how,-1.9853181,-3.8881629
can you tell me something funny,tell_joke,8.936146,11.826951
turn the volume to 4,change_volume,6.259896,-9.42168
i would like to cancel my reservations,cancel_reservation,11.07273,4.2915783
go to whisper mode,whisper_mode,11.623968,-8.6167345
how long until pork spoils in the fridge,food_last,-1.1478738,15.679515
"i have to cancel my reservation after all, please",cancel_reservation,11.138908,4.396899
tell me a funny joke,tell_joke,8.935549,11.067571
when do cars need their oil changed,oil_change_when,-5.1191072,5.7754626
lower volume level,change_volume,8.384593,-6.878075
please cancel the table i had reserved for tonight,cancel_reservation,12.172835,4.121704
can you add remember to register for the race on my calendar for the 15th of march,calendar_update,18.308744,5.7931557
can i eat chicken if it's been in the fridge since monday,food_last,0.25833297,16.014877
can you tell me something funny about science,tell_joke,9.40928,11.857175
tell me something interesting about lake tahoe,fun_fact,11.172248,13.570775
quit what you are doing,cancel,10.3770275,-3.6646848
tell me a joke about cars,tell_joke,10.158453,11.860522
"can you tell me how to change my car's oil, and what type i need to buy",oil_change_how,-2.868303,-3.2002022
"so i have had pizza in the fridge since monday, so is it safe to eat",food_last,0.29173106,15.542806
what can i do in new orleans for fun,travel_suggestion,13.17449,15.471569
use the whisper voice,whisper_mode,10.893595,-7.681112
what's the cooking time for the cake,cook_time,-1.6162511,16.55432
help me change my oil,oil_change_how,-2.4873023,-4.0441318
let me know what is showing on my calendar for the 17th of march,calendar,18.782688,6.713362
i need to cancel my reservation for new york to xai varanda,cancel_reservation,11.065047,4.3063016
what's the expiration for steak,food_last,-0.42791986,16.218035
cancel my party reservation for brad at longhorn,cancel_reservation,11.185823,4.4347863
is it easy to change the oil in my car,oil_change_how,-2.698297,-2.784094
leave the date of june 4 open on my calendar,calendar_update,18.173822,4.559661
what sort of jokes do you know,tell_joke,8.314683,11.09511
how long before i need an oil change,oil_change_when,-3.8889897,6.083288
what are some things i can do in portland,travel_suggestion,12.983874,15.105744
what's on my calendar for tuesday,calendar,17.930452,6.3678713
i need a spider fact,fun_fact,11.115326,12.667517
i need to know when to change oil,oil_change_when,-4.5167785,5.8614664
"can you remove this event from my calendar, please",calendar_update,17.466883,4.878657
will it be okay for me to eat my leftover turkey from monday that's been in my fridge,food_last,0.3001688,16.003147
delete all events on my calendar that have the word girlfriend in them,calendar_update,17.553026,4.82292
please cancel my dinner reservation,cancel_reservation,12.163459,4.2894406
i want to hear something funny about history,tell_joke,9.13514,11.989631
will you remove the dinner with june on saturday the 4th at 7pm from my calendar,calendar_update,17.042025,5.3188257
i'd like to hear a fun fact about adult entertainment,fun_fact,10.855687,12.896461
make the speakers louder,change_volume,8.994515,-7.5505433
"can you tell me what's on my calendar for march 05, 2019",calendar,18.7167,6.40612
"can you cancel that, please",cancel,11.2272835,-3.864621
add dentist appointment to my calendar for march 1,calendar_update,19.210985,4.67559
how often should i change my oil,oil_change_when,-4.5287566,6.656321
i need to delete an event from my calendar,calendar_update,17.55483,4.8208995
go into whisper mode now please,whisper_mode,11.50503,-8.674808
when is the next time i should change my oil,oil_change_when,-4.5154753,5.388302
how long do i need to cook tuna casserole for,cook_time,-1.1602559,16.72078
what's on my agenda for tomorrow,calendar,17.986794,6.6682134
for how long does this need to cook,cook_time,-1.2219335,17.071815
tell me some trivia about birds,fun_fact,10.3027,13.282094
please refrain from carrying out the current task,cancel,10.787114,-3.341388
put whisper mode on,whisper_mode,11.924724,-8.508434
"when travelling in chicago, what kinds of attractions should i see",travel_suggestion,13.143376,15.955042
take my dinner plans off my calendar for tomorrow,calendar_update,17.056694,5.3993435
how long should this be in the oven,cook_time,-1.4156506,16.742952
revert from whisper mode,whisper_mode,12.303506,-8.344661
is my milk safe to drink after being in the refrigerator for a week,food_last,-0.100697905,14.381464
when's the next time i have to get an oil change,oil_change_when,-4.6146164,5.311076
how long can i have pizza in the fridge,food_last,-0.65526575,15.50553
do you have any jokes to tell me,tell_joke,8.365614,11.124663
i can't change my oil and don't know what kind i need,oil_change_how,-2.9664176,-3.9295304
get louder,change_volume,9.333538,-6.9929795
what way can i change oil at home,oil_change_how,-2.4518795,-3.955734
please add an item to my calendar that i need to clean the kitchen on thursday,calendar_update,17.65544,5.677134
how can i change my oil in my car,oil_change_how,-2.6600285,-2.7287612
please add lunch and catch up with lisa on friday to my calendar,calendar_update,16.986082,5.440883
can you end the current process,cancel,10.914381,-2.920682
when do i need my oil changed,oil_change_when,-4.7329326,6.112431
change audio to whisper mode,whisper_mode,12.031213,-8.033261
how much longer until i need an oil change,oil_change_when,-3.826824,6.1327157
know any jokes,tell_joke,8.3336735,11.112108
how long can i freeze tofu before it goes bad,food_last,-0.11408009,15.351801
what duration of time should i wait before i change my oil,oil_change_when,-3.8684697,6.143785
can i eat the eggs i've had in the fridge since 2/21,food_last,0.6827529,16.342934
give me some trivia about lebron james,fun_fact,10.044459,13.878127
"i actually don't want this anymore, please abort",cancel,11.016048,-3.4559677
how would i replace my oil and what sort of oil should i use,oil_change_how,-2.9290054,-3.8785927
cancel reservation at eight for the group,cancel_reservation,11.073925,4.3525705
forget it,cancel,10.781548,-3.8613617
go ahead and cancel my reservation for 5 at red robin,cancel_reservation,11.38062,3.301523
what things can i do in portland,travel_suggestion,12.98878,15.084536
please stop the current process,cancel,10.909293,-2.9066439
please cancel the table for two at burger king,cancel_reservation,12.223702,4.1270347
remember to put down that i have an appointment for tomorrow on my calendar,calendar_update,19.346685,4.753833
how long do i need to make lasagne,cook_time,-0.61463,17.770164
how many minutes should i put meal the cake in the oven,cook_time,-1.6029845,16.551245
stop talking,cancel,9.527653,-4.3202033
what is the expiration date of the milk,food_last,0.26275256,14.190671
can you rise the volume of this please,change_volume,8.650103,-6.926631
what are some interesting things to do in dc,travel_suggestion,13.166371,15.752606
way to change car oil,oil_change_how,-2.7624886,-2.809375
how long do i cook this dish of rice,cook_time,-1.1339254,17.031902
what do i set the timer for if i'm making gyoza,cook_time,-1.309465,16.892723
i want to hear anything you have that's funny,tell_joke,9.029198,11.724722
am i good to eat this burger from the fridge that i got two mondays ago,food_last,0.114020124,15.943055
can you cancel the reservation for kyle's party at red lobster,cancel_reservation,11.690745,4.123193
how long must i cook spaghetti for,cook_time,-1.1100742,17.082466
